City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
8,Hithadhoo,MV,83.95,-0.6,73.0833,Scoop Guest House
9,Kant,IN,80.89,27.8,79.8,Haseeb Khan shatreng
13,Avarua,CK,79.16,-21.2078,-159.775,Paradise Inn
14,Coxim,BR,89.17,-18.5067,-54.76,Hotel Avenida
16,Bonthe,SL,82.56,7.5264,-12.505,Bonthe Holiday Village
17,Omboue,GA,76.78,-1.5746,9.2618,Hotel Olako
23,Misratah,LY,75.99,32.3754,15.0925,Almasa Hotel
24,Rikitea,PF,75.85,-23.1203,-134.9692,People ThankYou
25,Georgetown,MY,84.13,5.4112,100.3354,Cititel Penang
28,Alta Floresta,BR,85.05,-9.8756,-56.0861,Floresta Amazonica Hotel
31,Butaritari,KI,81.18,3.0707,172.7902,Isles Sunset Lodge
32,Vaini,TO,77.79,-21.2,-175.2,Keleti Beach Resort
35,Damghan,IR,78.6,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
39,Dwarka,IN,83.79,22.2394,68.9678,Hotel Narayan Avezika Comfort
40,Isangel,VU,77.05,-19.55,169.2667,Tanna Lodge
43,Esmeraldas,BR,77.45,-19.7625,-44.3139,Forasteiro Pousada
45,Lorengau,PG,82.96,-2.0226,147.2712,Lorengau Harbourside Hotel
46,Kavieng,PG,82.27,-2.5744,150.7967,Nusa Island Retreat
56,Kavaratti,IN,83.57,10.5669,72.642,Hotels in Lakshadweep Islands
58,Simpang,ID,75.79,-1.2667,104.0833,
60,Meulaboh,ID,78.48,4.1363,96.1285,Kost Pria
71,Cabo San Lucas,MX,85.6,22.8909,-109.9124,Vista Roof Restaurant
73,Grand Gaube,MU,75.38,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
74,Atuona,PF,78.84,-9.8,-139.0333,Villa Enata
80,Les Cayes,HT,84.42,18.2,-73.75,Villa Orphee
83,Bambanglipuro,ID,78.1,-7.95,110.2833,Puri Brata
92,Victoria,HK,79.18,22.2855,114.1577,Mini Central
101,Ascoli Piceno,IT,81.01,42.8548,13.5749,Hotel Palazzo Guiderocchi
103,Bolitoc,PH,79.59,15.7395,119.8769,Seasun Beach Resort & Hotel
105,Awjilah,LY,86.23,29.1081,21.2869,المنزل
116,Vaitape,PF,81.07,-16.5167,-151.75,Conrad Bora Bora Nui
118,Dingle,PH,76.6,10.9995,122.6711,SEGAYA PROPERTY
125,San Cristobal,VE,84.31,7.7669,-72.225,Pirineos
129,Mayo,US,75.13,38.8876,-76.5119,Resorts Resource Group International
135,Anloga,GH,82.87,5.7947,0.8973,Pin Drop Hotel
136,Hilo,US,76.28,19.7297,-155.09,Hilo Hawaiian Hotel
144,Acapulco,MX,85.82,16.8634,-99.8901,HS Hotsson Smart Acapulco
146,Morros,BR,89.64,-9.4467,-46.3003,
150,Carutapera,BR,81.36,-1.195,-46.02,Lidera
153,Matay,EG,84.65,28.419,30.7792,Nag Aespen
157,Santiago Del Estero,AR,78.46,-27.7951,-64.2615,Apartamentos Castelli 90
164,Hambantota,LK,80.26,6.1241,81.1185,Bungalow 63
166,Mahebourg,MU,75.25,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
167,Touros,BR,80.89,-5.1989,-35.4608,INN NEW HORIZON
168,Harper,LR,79.57,4.375,-7.7169,Screensaver
169,Ca Mau,VN,78.76,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
172,Bengkulu,ID,77.95,-3.8004,102.2655,Grage Hotel Bengkulu
176,Batticaloa,LK,83.43,7.7102,81.6924,Grand Star Guest House
184,Kutoarjo,ID,76.86,-7.7169,109.9128,Massagus Hotel
192,Saint George,US,75.79,37.1041,-113.5841,Best Western Plus Abbey Inn
197,San Patricio,US,86.72,28.017,-97.5169,"Motel 6 Sinton, TX"
200,Labuhan,ID,80.2,-6.8844,112.2051,DoubleFAG
209,Kahului,US,76.84,20.8947,-156.47,Maui Seaside Hotel
214,Olinda,BR,80.33,-8.0089,-34.8553,Flat Quatro Rodas Olinda
217,Cotonou,BJ,83.48,6.3654,2.4183,Novotel Cotonou Orisha
219,Sabinopolis,BR,75.87,-18.6661,-43.0839,Hotel Pousada Jesus
222,Kirakira,SB,79.25,-10.4544,161.9205,SanBiz Lodge
223,Sakakah,SA,80.42,29.9697,40.2064,Fakhamat Al Orjoana Apartment
224,Sarangani,PH,82.76,5.4033,125.4636,Ballistic Islet
230,Bavaniste,RS,75.38,44.8189,20.8758,Ivan
236,Laguna,US,82.15,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
238,Sao Joao Da Barra,BR,75.29,-21.6403,-41.0511,Pousada Porto De Canoas
244,Faanui,PF,81.07,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
245,Poso,ID,77.45,-1.3959,120.7524,Hotel 77 Poso
246,Padang,ID,78.31,-0.9492,100.3543,Mercure Padang
247,Vung Tau,VN,81.37,10.346,107.0843,Seaside Resort
263,Tabou,CI,79.23,4.423,-7.3528,hotêl doufoulougou
264,Yumen,CN,75.16,40.2833,97.2,
266,Matara,LK,78.28,5.9485,80.5353,Amaloh Boutique Resort
272,Morondava,MG,77.85,-20.2833,44.2833,La Case Bambou
273,Guane,CU,89.78,22.2025,-84.0875,base de Campismo LosPortales de Guane
276,Ixtapa,MX,79.83,20.7,-105.2,hotel la terminal
278,Tiznit,MA,80.29,29.5833,-9.5,
279,Boa Vista,BR,84.18,2.8197,-60.6733,Aipana Plaza Hotel
280,Biak,ID,76.96,-0.9131,122.8766,Penginapan Kim
281,Bontang,ID,79.16,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
287,Pilani,IN,77.59,28.3684,75.6041,Hotel Poornima Lodge
288,Bodden Town,KY,86.0,19.2833,-81.25,Will T Place
290,Dromolaxia,CY,78.46,34.8761,33.586,Sea N Lake View Hotel Apartments
292,Takoradi,GH,80.26,4.8845,-1.7554,Raybow International Hotel
296,Mirabad,AF,85.01,30.4362,61.8383,
298,Zwedru,LR,77.13,6.0667,-8.1281,Elijah Worjloh
301,Port Blair,IN,82.89,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
305,Banda Aceh,ID,81.01,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
309,Careiro Da Varzea,BR,84.81,-3.2003,-59.8119,POUSADA DA ALDENORA
314,Trat,TH,75.81,12.5,102.5,สวนหนิง-อัศ
315,Sinnamary,GF,80.58,5.3833,-52.95,ALETHEIA Appartement Sinnamary
316,Mogadishu,SO,80.28,2.0371,45.3438,Hotel Juba
317,Carros,FR,76.3,43.7894,7.184,Lou Castelet Restaurant
319,Wamba,NG,85.59,8.9333,8.6,Roma Zee Guest House Annex
320,Luganville,VU,77.5,-15.5333,167.1667,The Espiritu Hotel
321,Abu Dhabi,AE,89.71,24.4667,54.3667,Beach Rotana
322,Nichlaul,IN,80.6,27.3167,83.7333,Karan Manes Parler
325,Aksu,CN,79.21,41.1231,80.2644,Pudong Holiday Hotel
328,Lhokseumawe,ID,79.59,5.1801,97.1507,OYO 3278 Penginapan Alfajri
329,Lokoja,NG,86.29,7.8024,6.743,Hotel Charvid
330,Cockburn Town,TC,79.25,21.4612,-71.1419,Osprey Beach Hotel
333,Hami,CN,85.03,42.8,93.45,Laoyutang Resort
334,Nhulunbuy,AU,79.41,-12.2333,136.7667,East Arnhem Real Estate
337,Ranot,TH,82.8,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
340,Kieta,PG,78.78,-6.2167,155.6333,Uruna Bay Retreat
341,Pandharpur,IN,85.28,17.6667,75.3333,Pandharinath Lodge and Restaurant
344,Marzuq,YE,81.73,14.4,46.4667,
349,Puerto Palomas,MX,78.06,31.7667,-107.6167,Hotel San Carlos
350,Gboko,NG,77.76,7.3179,8.9951,Mavillah Apartment and Suites
351,Sao Francisco,BR,88.61,-15.9486,-44.8644,Pousada Peixe Vivo
352,Formosa,AR,76.98,-26.1775,-58.1781,Asterión Hotel
354,Sola,VU,80.62,-13.8833,167.55,Leumerus Bungalows
357,Bandarbeyla,SO,81.07,9.4942,50.8122,JABIR HOTEL
