City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,35.11,74,81,20.85,broken clouds
1,Thompson,CA,55.7435,-97.8558,50.16,57,75,16.11,broken clouds
2,Jamestown,US,42.097,-79.2353,62.06,48,100,3.0,overcast clouds
3,Klaksvik,FO,62.2266,-6.589,47.32,87,67,9.46,broken clouds
4,Wakkanai,JP,45.4094,141.6739,45.54,95,74,5.48,broken clouds
5,Lompoc,US,34.6391,-120.4579,70.92,74,0,8.01,clear sky
6,Dayong,CN,25.0209,118.2898,69.57,98,100,1.86,light rain
7,Esperance,AU,-33.8667,121.9,61.0,68,59,22.95,broken clouds
8,Hithadhoo,MV,-0.6,73.0833,83.95,74,16,12.33,few clouds
9,Kant,IN,27.8,79.8,80.89,52,99,11.25,overcast clouds
10,Busselton,AU,-33.65,115.3333,62.56,85,72,31.29,broken clouds
11,Bredasdorp,ZA,-34.5322,20.0403,59.4,79,100,5.61,overcast clouds
12,Cape Town,ZA,-33.9258,18.4232,62.28,83,0,9.22,clear sky
13,Avarua,CK,-21.2078,-159.775,79.16,74,3,7.47,clear sky
14,Coxim,BR,-18.5067,-54.76,89.17,25,11,5.48,few clouds
15,Kaitangata,NZ,-46.2817,169.8464,51.87,76,49,15.57,scattered clouds
16,Bonthe,SL,7.5264,-12.505,82.56,75,99,10.27,moderate rain
17,Omboue,GA,-1.5746,9.2618,76.78,79,99,9.37,overcast clouds
18,Khatanga,RU,71.9667,102.5,26.22,87,35,10.65,scattered clouds
19,Puerto Ayora,EC,-0.7393,-90.3518,73.54,95,63,1.99,broken clouds
20,Marsabit,KE,2.3284,37.9899,73.13,49,1,12.26,clear sky
21,Ferme-Neuve,CA,46.7001,-75.4493,53.49,46,74,5.77,broken clouds
22,Barrow,US,71.2906,-156.7887,21.22,86,100,19.57,overcast clouds
23,Misratah,LY,32.3754,15.0925,75.99,47,0,12.55,clear sky
24,Rikitea,PF,-23.1203,-134.9692,75.85,74,24,13.87,few clouds
25,Georgetown,MY,5.4112,100.3354,84.13,84,20,0.0,few clouds
26,Upernavik,GL,72.7868,-56.1549,30.6,94,100,4.79,overcast clouds
27,Ambunti,PG,-4.2365,142.8448,73.45,99,87,1.77,overcast clouds
28,Alta Floresta,BR,-9.8756,-56.0861,85.05,41,0,4.0,clear sky
29,Albany,US,42.6001,-73.9662,66.58,48,98,6.85,overcast clouds
30,Sept-Iles,CA,50.2001,-66.3821,53.06,45,47,8.99,scattered clouds
31,Butaritari,KI,3.0707,172.7902,81.18,81,100,13.94,light rain
32,Vaini,TO,-21.2,-175.2,77.79,85,17,12.03,few clouds
33,Vagay,RU,57.9375,69.0217,46.71,97,100,4.79,overcast clouds
34,Narsaq,GL,60.9167,-46.05,43.02,79,90,4.43,overcast clouds
35,Damghan,IR,36.1683,54.348,78.6,14,32,6.44,scattered clouds
36,Yellowknife,CA,62.456,-114.3525,38.12,53,26,2.33,scattered clouds
37,Mataura,NZ,-46.1927,168.8643,52.48,82,97,8.75,overcast clouds
38,Atbasar,KZ,51.8,68.3333,59.99,55,84,10.36,broken clouds
39,Dwarka,IN,22.2394,68.9678,83.79,81,50,25.41,scattered clouds
40,Isangel,VU,-19.55,169.2667,77.05,82,48,10.71,scattered clouds
