City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bluff,-46.6,168.3333,50.34,80,100,29.48,NZ,2022-05-21 19:25:37
1,Norman Wells,65.282,-126.8329,42.84,87,100,18.41,CA,2022-05-21 19:25:37
2,Saskylakh,71.9167,114.0833,26.83,99,97,6.58,RU,2022-05-21 19:17:44
3,Chake Chake,-5.2459,39.7666,77.31,83,99,9.06,TZ,2022-05-21 19:25:38
4,Hithadhoo,-0.6,73.0833,83.05,70,12,8.21,MV,2022-05-21 19:21:18
5,Tuktoyaktuk,69.4541,-133.0374,30.2,69,100,9.22,CA,2022-05-21 19:25:38
6,Evanston,42.0411,-87.6901,61.92,88,100,10.36,US,2022-05-21 19:23:06
7,Saint-Philippe,-21.3585,55.7679,71.19,79,99,11.32,RE,2022-05-21 19:25:39
8,Bereda,43.2686,-7.5406,74.41,55,100,1.99,ES,2022-05-21 19:25:39
9,Iqaluit,63.7506,-68.5145,31.73,93,100,33.38,CA,2022-05-21 19:23:59
10,Novikovo,51.1537,37.8879,50.77,96,100,10.76,RU,2022-05-21 19:25:40
11,Grand Gaube,-20.0064,57.6608,75.6,76,0,1.99,MU,2022-05-21 19:25:40
12,San Pedro,14.35,121.0167,79.83,86,75,6.91,PH,2022-05-21 19:25:40
13,Cidreira,-30.1811,-50.2056,64.54,59,9,4.5,BR,2022-05-21 19:16:19
14,Miri,4.4148,114.0089,77.14,94,40,2.3,MY,2022-05-21 19:17:42
15,Rikitea,-23.1203,-134.9692,75.24,74,12,6.6,PF,2022-05-21 19:25:41
16,Kapaa,22.0752,-159.319,80.58,94,20,6.91,US,2022-05-21 19:25:41
17,Aasiaat,68.7098,-52.8699,34.34,81,100,5.1,GL,2022-05-21 19:25:42
18,Klaksvik,62.2266,-6.589,49.12,87,99,14.72,FO,2022-05-21 19:25:42
19,Laguna,38.421,-121.4238,84.15,19,0,8.05,US,2022-05-21 19:25:42
20,Upernavik,72.7868,-56.1549,29.79,77,100,7.58,GL,2022-05-21 19:25:43
21,Yellowknife,62.456,-114.3525,55.92,50,75,10.36,CA,2022-05-21 19:25:06
22,Hermanus,-34.4187,19.2345,58.32,75,39,6.93,ZA,2022-05-21 19:25:43
23,Nanakuli,21.3906,-158.1547,82.45,71,0,3.44,US,2022-05-21 19:25:44
24,Aktau,43.65,51.2,59.58,74,100,18.86,KZ,2022-05-21 19:25:44
25,Kruisfontein,-34.0033,24.7314,54.88,85,8,5.59,ZA,2022-05-21 19:16:19
26,Katsuura,35.1333,140.3,60.98,94,100,15.79,JP,2022-05-21 19:15:09
27,Arlit,18.7369,7.3853,95.83,11,100,5.97,NE,2022-05-21 19:25:45
28,Punta Arenas,-53.15,-70.9167,42.91,70,0,14.97,CL,2022-05-21 19:25:45
29,Amapa,1.0,-52.0,75.51,97,100,2.51,BR,2022-05-21 19:25:45
30,Mahibadhoo,3.7833,72.9667,83.28,77,29,12.28,MV,2022-05-21 19:25:46
31,Vaini,-21.2,-175.2,71.76,94,75,4.61,TO,2022-05-21 19:22:34
32,Puerto Ayora,-0.7393,-90.3518,76.96,91,63,5.99,EC,2022-05-21 19:25:46
33,Busselton,-33.65,115.3333,59.85,75,0,9.08,AU,2022-05-21 19:22:28
34,New Norfolk,-42.7826,147.0587,43.92,87,18,1.01,AU,2022-05-21 19:25:47
35,Jamestown,42.097,-79.2353,83.84,57,0,12.66,US,2022-05-21 19:22:46
36,Ewa Beach,21.3156,-158.0072,82.44,72,0,8.05,US,2022-05-21 19:25:47
37,Mataura,-46.1927,168.8643,46.22,95,100,11.43,NZ,2022-05-21 19:25:48
38,Cape Town,-33.9258,18.4232,58.12,80,0,3.44,ZA,2022-05-21 19:25:48
39,Kirakira,-10.4544,161.9205,79.52,84,49,2.62,SB,2022-05-21 19:25:48
40,Kieta,-6.2167,155.6333,78.04,84,21,1.05,PG,2022-05-21 19:21:32
41,Lompoc,34.6391,-120.4579,76.78,56,0,12.66,US,2022-05-21 19:25:49
42,Kendari,-3.945,122.4989,73.87,95,100,3.62,ID,2022-05-21 19:25:49
43,Barrow,71.2906,-156.7887,21.22,93,100,11.5,US,2022-05-21 19:23:40
44,Port Hardy,50.6996,-127.4199,50.18,87,20,4.61,CA,2022-05-21 19:25:50
45,Hilo,19.7297,-155.09,78.53,76,100,1.99,US,2022-05-21 19:24:42
46,Susuman,62.7833,148.1667,32.76,93,100,2.8,RU,2022-05-21 19:26:50
47,Georgetown,5.4112,100.3354,82.33,88,20,2.3,MY,2022-05-21 19:26:51
48,Ushuaia,-54.8,-68.3,42.46,70,0,6.91,AR,2022-05-21 19:26:51
49,Tiksi,71.6872,128.8694,22.86,99,100,2.95,RU,2022-05-21 19:26:51
50,Avarua,-21.2078,-159.775,77.05,78,40,2.3,CK,2022-05-21 19:26:52
51,Cabo San Lucas,22.8909,-109.9124,85.6,53,0,9.22,MX,2022-05-21 19:26:52
52,Victoria,22.2855,114.1577,78.85,89,100,15.01,HK,2022-05-21 19:26:52
53,Yumbel,-37.0833,-72.5667,55.63,50,100,3.24,CL,2022-05-21 19:26:53
54,Blois,47.5833,1.3333,75.33,74,5,8.77,FR,2022-05-21 19:26:53
55,Galesong,-5.3166,119.3661,75.22,80,82,5.91,ID,2022-05-21 19:26:54
56,Kargasok,59.0556,80.8572,46.71,84,100,6.55,RU,2022-05-21 19:20:21
57,Albany,42.6001,-73.9662,91.24,55,0,4.0,US,2022-05-21 19:26:54
58,Arraial Do Cabo,-22.9661,-42.0278,71.56,68,20,11.5,BR,2022-05-21 19:23:13
